Currency,Date,Open,High,Low,Close,Volume,Market Cap,Name
BTC,"Dec 31, 2020",28841.5737581100,29244.87669,28201.99199,29001.71982,4.675496485e+10,5.390511381e+11,bitcoin
BTC,"Jan 01, 2021",28994.0089164100,29600.62695,28803.58501,29374.15189,4.073030136e+10,5.460015948e+11,bitcoin
BTC,"Jan 02, 2021",29376.4558341400,33155.11882,29091.18119,32127.26794,6.786542077e+10,5.972059447e+11,bitcoin
BTC,"Jan 03, 2021",32129.4073556000,34608.55674,32052.31708,32782.02447,7.86652352e+10,6.094092131e+11,bitcoin
BTC,"Jan 04, 2021",32810.9476438100,33440.21857,28722.75527,31971.91352,8.116347534e+10,5.943840254e+11,bitcoin
BTC,"Jan 05, 2021",31977.0411322800,34437.59059,30221.18674,33992.42934,6.754732478e+10,6.31980006e+11,bitcoin
BTC,"Jan 06, 2021",34013.6145330000,36879.69857,33514.03374,36824.36441,7.528943381e+10,6.846712463e+11,bitcoin
BTC,"Jan 07, 2021",36833.8743572800,40180.36791,36491.18981,39371.04235,8.476214103e+10,7.320626811e+11,bitcoin
BTC,"Jan 08, 2021",39381.7658426600,41946.73935, 36838.636,40797.61072,8.810751948e+10,7.586259413e+11,bitcoin
BTC,"Jan 09, 2021",40788.6405228600,41436.35001,38980.87691,40254.5465,6.198416284e+10,7.48563483e+11,bitcoin
BTC,"Jan 10, 2021",40254.2177975800,41420.19103,35984.62712,38356.43951,7.998074769e+10,7.133046178e+11,bitcoin
BTC,"Jan 11, 2021",38346.5295030100,38346.5295,30549.59877,35566.65594,1.233205674e+11,6.614573214e+11,bitcoin
BTC,"Jan 12, 2021",35516.3611408400,36568.52697,32697.97662,33922.96058,7.477327791e+10,6.309204227e+11,bitcoin
BTC,"Jan 13, 2021",33915.1195812400,37599.9606,32584.66767,37316.3594,6.936431598e+10,6.940695822e+11,bitcoin
BTC,"Jan 14, 2021",37325.1076347500,39966.40524,36868.56325,39187.32812,6.361599003e+10,7.28904367e+11,bitcoin
BTC,"Jan 15, 2021",39156.7080858000,39577.71119,34659.58974,36825.36585,6.776075788e+10,6.850058645e+11,bitcoin
BTC,"Jan 16, 2021",36821.6487320100,37864.36888,35633.55402,36178.1389,5.770618788e+10,6.730006452e+11,bitcoin
BTC,"Jan 17, 2021",36163.6492324300,36722.34988,34069.32219,35791.27792,5.235985434e+10,6.658316214e+11,bitcoin
BTC,"Jan 18, 2021",35792.2366676600,37299.28581,34883.84405,36630.07568,4.951170243e+10,6.814700306e+11,bitcoin
BTC,"Jan 19, 2021",36642.2327235700,37755.89186,36069.80639,36069.80639,5.724419549e+10,6.710812007e+11,bitcoin
BTC,"Jan 20, 2021",36050.1126982400,36378.3267,33570.4778,35547.75089,6.683457316e+10,6.614001022e+11,bitcoin
BTC,"Jan 21, 2021",35549.3974090200,35552.6795,30250.74964,30825.69851,7.564306769e+10,5.735656649e+11,bitcoin
BTC,"Jan 22, 2021",30817.6251924200,33811.85156,28953.37275,33005.76356,7.720727251e+10,6.141605215e+11,bitcoin
BTC,"Jan 23, 2021",32985.7569132600,33360.97819,31493.15967,32067.64288,4.835473798e+10,5.967331376e+11,bitcoin
BTC,"Jan 24, 2021",32064.3763151600,32944.00894,31106.68577,32289.37809,4.86438306e+10,6.00888568e+11,bitcoin
BTC,"Jan 25, 2021",32285.7989134500,34802.74298,32087.78797,32366.39305,5.989705484e+10,6.023500971e+11,bitcoin
BTC,"Jan 26, 2021",32358.6131737000,32794.54959,31030.26597,32569.84956,6.025542147e+10,6.061692604e+11,bitcoin
BTC,"Jan 27, 2021",32564.0302411200,32564.03024,29367.13922,30432.54708,6.257676202e+10,5.664174136e+11,bitcoin
BTC,"Jan 28, 2021",30441.0418168000,33858.31099,30023.20683,33466.09636,7.651715771e+10,6.229100738e+11,bitcoin
BTC,"Jan 29, 2021",34318.6716924000,38406.26096,32064.81419,34316.38765,1.178945725e+11,6.387686714e+11,bitcoin
BTC,"Jan 30, 2021",34295.9350435000,34834.7083,32940.18691,34269.52154,6.51418288e+10,6.379245733e+11,bitcoin
BTC,"Jan 31, 2021",34270.8775921400,34288.33148,32270.17602,33114.35775,5.275454267e+10,6.164527445e+11,bitcoin
BTC,"Feb 01, 2021",33114.5772429800,34638.21349,32384.22811,33537.17682,6.140040066e+10,6.243490444e+11,bitcoin
BTC,"Feb 02, 2021",33533.2006710200,35896.88214,33489.21867,35510.28904,6.308858543e+10,6.611145817e+11,bitcoin
BTC,"Feb 03, 2021",35510.8212134600,37480.18789,35443.98273,37472.0901,6.116681816e+10,6.976729105e+11,bitcoin
BTC,"Feb 04, 2021",37475.1040291500,38592.17638,36317.49881,36926.06447,6.883807439e+10,6.875427525e+11,bitcoin
BTC,"Feb 05, 2021",36931.5456478500,38225.90595,36658.76354,38144.30686,5.85980664e+10,7.102667525e+11,bitcoin
BTC,"Feb 06, 2021",38138.3883397500,40846.5469,38138.38834,39266.01073,7.132603365e+10,7.311924901e+11,bitcoin
BTC,"Feb 07, 2021",39250.1905137000,39621.83549,37446.15388,38903.44148,6.550064114e+10,7.244788332e+11,bitcoin
BTC,"Feb 08, 2021",38886.8272899500,46203.93144,38076.32281,46196.46372,1.014672227e+11,8.603427063e+11,bitcoin
BTC,"Feb 09, 2021",46184.9914660900,48003.72396,45166.96004,46481.10424,9.180984689e+10,8.656829566e+11,bitcoin
BTC,"Feb 10, 2021",46469.7612020400,47145.5682,43881.1526,44918.18449,8.73010899e+10,8.366169075e+11,bitcoin
BTC,"Feb 11, 2021",44898.7116114900,48463.46713,44187.76235,47909.33119,8.138891181e+10,8.923648561e+11,bitcoin
BTC,"Feb 12, 2021",47877.0343745100,48745.7338,46424.97782,47504.85118,7.65550412e+10,8.848740506e+11,bitcoin
BTC,"Feb 13, 2021",47491.2025550300,48047.74459,46392.28233,47105.51747,7.025045616e+10,8.774788945e+11,bitcoin
BTC,"Feb 14, 2021",47114.5095864900,49487.64087,47114.50959,48717.29021,7.124867523e+10,9.075513302e+11,bitcoin
BTC,"Feb 15, 2021",48696.5366599300,48875.57161,46347.47709,47945.05683,7.706990317e+10,8.9321008e+11,bitcoin
